question,url_b,
请对图片中的箱子进行描述?,http://farm3.staticflickr.com/2495/3935049892_1c9eff9c54_b.jpg,
请对图片中的箱子进行描述?,http://farm7.staticflickr.com/6109/6286728068_2f3c6912b8_b.jpg,
请对图片中的箱子进行描述?,http://farm7.staticflickr.com/6025/5882457996_a2e55e7219_b.jpg,
请对图片中的箱子进行描述?,http://farm9.staticflickr.com/8217/8288437481_697ae7bda6_b.jpg,
请对图片中的箱子进行描述?,http://farm6.staticflickr.com/5020/5471374135_9cd6de17a9_b.jpg,
请对图片中的箱子进行描述?,http://farm8.staticflickr.com/7152/6453792093_3690418daa_b.jpg,
请对图片中的箱子进行描述?,http://farm5.staticflickr.com/4105/4983443968_60058ff085_b.jpg,
请对图片中的箱子进行描述?,http://farm1.staticflickr.com/184/398851722_fc8e50e19e_b.jpg,
请对图片中的箱子进行描述?,http://farm4.staticflickr.com/3033/2943730812_b767abff83.jpg,
请对图片中的箱子进行描述?,http://farm4.staticflickr.com/3946/15393843579_0266a33fa6_k.jpg,
